,shortcode,url,category
52,mtg_whiteBlue,https://tooting.ch/system/custom_emojis/images/000/100/471/original/17c0b07e5c26eb48.png,Magic: The Gathering
53,mtg_greenPhyrexian,https://tooting.ch/system/custom_emojis/images/000/100/475/original/9218b628909edec7.png,Magic: The Gathering
54,mtg_redPhyrexian,https://tooting.ch/system/custom_emojis/images/000/100/477/original/ad7249033ab95348.png,Magic: The Gathering
55,mtg_snow,https://tooting.ch/system/custom_emojis/images/000/100/478/original/abecbeea1e6cb927.png,Magic: The Gathering
56,mtg_blue,https://tooting.ch/system/custom_emojis/images/000/100/427/original/4c76db8ef6997e49.png,Magic: The Gathering
57,mtg_green,https://tooting.ch/system/custom_emojis/images/000/100/429/original/fc2afe74a654fdcf.png,Magic: The Gathering
58,mtg_black,https://tooting.ch/system/custom_emojis/images/000/100/430/original/d664a2e843b3a444.png,Magic: The Gathering
59,mtg_untap,https://tooting.ch/system/custom_emojis/images/000/100/436/original/99f129da44ea4eb1.png,Magic: The Gathering
60,mtg_2blue,https://tooting.ch/system/custom_emojis/images/000/100/444/original/e90480cf72cc1acb.png,Magic: The Gathering
61,mtg_2white,https://tooting.ch/system/custom_emojis/images/000/100/446/original/4ff7fafc16888a78.png,Magic: The Gathering
62,mtg_artistInfo,https://tooting.ch/system/custom_emojis/images/000/100/527/original/5757a99a68eaeb2c.png,Magic: The Gathering
63,respect,https://tooting.ch/system/custom_emojis/images/000/100/640/original/dbb09eeee1be72db.png,Memes
64,gayrespect,https://tooting.ch/system/custom_emojis/images/000/100/641/original/729d08882ed9d1c2.png,Memes
65,ablobdundundun,https://tooting.ch/system/custom_emojis/images/000/100/696/original/246f55f90930ab28.png,Blob Emoji
66,blobooh,https://tooting.ch/system/custom_emojis/images/000/102/152/original/5ba2f2f0e72b6179.png,Blob Emoji
67,blobcatsadpats,https://tooting.ch/system/custom_emojis/images/000/118/783/original/12df3a2aa69e5b46.png,Blobcat Emoji
68,blobsnuggle,https://tooting.ch/system/custom_emojis/images/000/009/190/original/8d3f1154fe131ee4.png,Blob Emoji
69,blobheartcat,https://tooting.ch/system/custom_emojis/images/000/009/189/original/1c0ed75df1319f73.png,Blobcat Emoji
70,blobpats,https://tooting.ch/system/custom_emojis/images/000/009/193/original/f604d979f697b6b1.png,Blob Emoji
71,blobuwu,https://tooting.ch/system/custom_emojis/images/000/009/191/original/8b38e1dfa7d4af75.png,Blob Emoji
72,gnu,https://tooting.ch/system/custom_emojis/images/000/009/195/original/1b2c73d649bfbd51.png,Logos and Symbols
73,patcat,https://tooting.ch/system/custom_emojis/images/000/009/200/original/7f49241da7a77bf7.png,Blobcat Emoji
74,blobcheeky,https://tooting.ch/system/custom_emojis/images/000/009/192/original/07c26a4894228771.png,Blob Emoji
75,blobsalute,https://tooting.ch/system/custom_emojis/images/000/013/544/original/0f8f4e9f78262ae8.png,Blob Emoji
76,archlinux,https://tooting.ch/system/custom_emojis/images/000/009/196/original/fabe7cda22156ffc.png,Logos and Symbols
77,mastodon,https://tooting.ch/system/custom_emojis/images/000/009/194/original/98b12dcc1fed260a.png,Logos and Symbols
78,blobcat_ball,https://tooting.ch/system/custom_emojis/images/000/009/197/original/0c4b479d03455bf5.png,Blobcat Emoji
79,blobcatmlem,https://tooting.ch/system/custom_emojis/images/000/009/198/original/a5a19b254d517458.png,Blobcat Emoji
80,gfl_sv98love,https://tooting.ch/system/custom_emojis/images/000/068/337/original/c1fc077b5bdd0085.png,Girls' Frontline Stickers by BulletPuncher-98
81,gfl_m4what,https://tooting.ch/system/custom_emojis/images/000/068/331/original/fe3b9a89f19bd8f2.png,Girls' Frontline Stickers by BulletPuncher-98
82,blobmiou,https://tooting.ch/system/custom_emojis/images/000/009/199/original/abe2527eeedecca8.png,Blobcat Emoji
83,verified,https://tooting.ch/system/custom_emojis/images/000/009/201/original/88f0387d61835ab0.png,Logos and Symbols
84,blobcatgooglyshrug,https://tooting.ch/system/custom_emojis/images/000/009/202/original/a4ad09350dfb5d4c.png,Blobcat Emoji
85,gfl_g11sleepy,https://tooting.ch/system/custom_emojis/images/000/068/329/original/0a22c3f8bc775269.png,Girls' Frontline Stickers by BulletPuncher-98
86,twitter,https://tooting.ch/system/custom_emojis/images/000/009/205/original/d9411dad2cd78d55.png,Logos and Symbols
87,blobcatowoevil,https://tooting.ch/system/custom_emojis/images/000/009/214/original/b836864e02e59a5c.png,Blobcat Emoji
88,blobsad,https://tooting.ch/system/custom_emojis/images/000/009/217/original/6c52d7f63ed403f9.png,Blob Emoji
89,blobfistbumpB,https://tooting.ch/system/custom_emojis/images/000/009/209/original/8fda3a667184e611.png,Blob Emoji
90,blobfistbumpT,https://tooting.ch/system/custom_emojis/images/000/009/210/original/f0c759815acb9c03.png,Blob Emoji
91,blobheart,https://tooting.ch/system/custom_emojis/images/000/009/211/original/96aedd74da6d7e19.png,Blob Emoji
92,gfl_m4sip,https://tooting.ch/system/custom_emojis/images/000/068/330/original/b0e139b7e156c531.png,Girls' Frontline Stickers by BulletPuncher-98
93,gfl_an94blush,https://tooting.ch/system/custom_emojis/images/000/068/899/original/2d1022d7bcf0d938.png,Girls' Frontline Stickers by BulletPuncher-98
94,blobfearful,https://tooting.ch/system/custom_emojis/images/000/009/215/original/82689648ac44da8c.png,Blob Emoji
95,blobhyperthink,https://tooting.ch/system/custom_emojis/images/000/009/216/original/7659a869d1163a60.png,Blob Emoji
96,blobwink,https://tooting.ch/system/custom_emojis/images/000/009/213/original/b8ea21477b5687de.png,Blob Emoji
97,debian,https://tooting.ch/system/custom_emojis/images/000/009/219/original/1e8d986f291c072a.png,Logos and Symbols
98,fedora,https://tooting.ch/system/custom_emojis/images/000/009/220/original/2523064e515506d0.png,Logos and Symbols
99,blob_blowing_kiss,https://tooting.ch/system/custom_emojis/images/000/009/227/original/3d5ca506ecedfc32.png,Blob Emoji
100,python,https://tooting.ch/system/custom_emojis/images/000/009/221/original/f8fb41b6fb98d7c9.png,Logos and Symbols
101,ubuntu,https://tooting.ch/system/custom_emojis/images/000/009/224/original/580765dcf060aecb.png,Logos and Symbols
102,windows,https://tooting.ch/system/custom_emojis/images/000/009/223/original/d136806fd8fda7fe.png,Logos and Symbols
103,blobcry,https://tooting.ch/system/custom_emojis/images/000/009/231/original/a73d94a9122e5ee7.png,Blob Emoji
104,blob_neutral_face,https://tooting.ch/system/custom_emojis/images/000/009/228/original/dbc170a900738f4e.png,Blob Emoji
105,blobderpy,https://tooting.ch/system/custom_emojis/images/000/009/233/original/1a44dad7cb0e7fb3.png,Blob Emoji
106,blobfrowningbig,https://tooting.ch/system/custom_emojis/images/000/009/234/original/cebd4f8a7c10513a.png,Blob Emoji
107,blobkissblush,https://tooting.ch/system/custom_emojis/images/000/009/238/original/6dad12bd7ed3a306.png,Blob Emoji
108,blobhappy,https://tooting.ch/system/custom_emojis/images/000/009/236/original/5e5a6c5a57486afb.png,Blob Emoji
109,blobrofl,https://tooting.ch/system/custom_emojis/images/000/009/244/original/0fb6e0705e48fd50.png,Blob Emoji
110,blobowo,https://tooting.ch/system/custom_emojis/images/000/009/240/original/099e5162c766d4a1.png,Blob Emoji
111,blobreach,https://tooting.ch/system/custom_emojis/images/000/009/243/original/81cd8a20df57c85a.png,Blob Emoji
112,blobpensive,https://tooting.ch/system/custom_emojis/images/000/009/242/original/71ede5269637a324.png,Blob Emoji
113,fingerguns,https://tooting.ch/system/custom_emojis/images/000/009/252/original/00e610290bdc02d5.png,
114,highfive,https://tooting.ch/system/custom_emojis/images/000/009/255/original/e907b5c1c1c1345f.png,
115,blobsoothed,https://tooting.ch/system/custom_emojis/images/000/009/246/original/4f3307648fddbffa.png,Blob Emoji
116,ghostbusters,https://tooting.ch/system/custom_emojis/images/000/009/254/original/0e45a742db20aad1.png,Logos and Symbols
117,blobtonguewink,https://tooting.ch/system/custom_emojis/images/000/009/248/original/ec3490488733fde4.png,Blob Emoji
118,blobupset,https://tooting.ch/system/custom_emojis/images/000/009/249/original/9e38592623b7f2ed.png,Blob Emoji
119,buttwhat,https://tooting.ch/system/custom_emojis/images/000/009/250/original/bc871bafd38b55cc.png,Blob Emoji
120,eyeroll,https://tooting.ch/system/custom_emojis/images/000/009/251/original/1fdb806b0d8d840c.png,
121,garfield,https://tooting.ch/system/custom_emojis/images/000/009/253/original/6bc85456779b8cef.png,
122,thinking_up,https://tooting.ch/system/custom_emojis/images/000/009/257/original/fa244e0e6c4ec697.png,Memes
